trip_id,arrival_time,departure_time,stop_id,stop_sequence
T401_0,07:30:00,07:30:00,HOME_BS,1
T401_0,07:34:00,07:34:00,B1,2
T401_0,07:38:00,07:38:00,HUB_BS,3
T401_1,07:40:00,07:40:00,HOME_BS,1
T401_1,07:44:00,07:44:00,B1,2
T401_1,07:48:00,07:48:00,HUB_BS,3
T401_2,07:50:00,07:50:00,HOME_BS,1
T401_2,07:54:00,07:54:00,B1,2
T401_2,07:58:00,07:58:00,HUB_BS,3
T401_3,08:00:00,08:00:00,HOME_BS,1
T401_3,08:04:00,08:04:00,B1,2
T401_3,08:08:00,08:08:00,HUB_BS,3
T401_4,08:10:00,08:10:00,HOME_BS,1
T401_4,08:14:00,08:14:00,B1,2
T401_4,08:18:00,08:18:00,HUB_BS,3
T401_5,08:20:00,08:20:00,HOME_BS,1
T401_5,08:24:00,08:24:00,B1,2
T401_5,08:28:00,08:28:00,HUB_BS,3
T401_6,08:30:00,08:30:00,HOME_BS,1
T401_6,08:34:00,08:34:00,B1,2
T401_6,08:38:00,08:38:00,HUB_BS,3
T401_7,08:40:00,08:40:00,HOME_BS,1
T401_7,08:44:00,08:44:00,B1,2
T401_7,08:48:00,08:48:00,HUB_BS,3
T9000_0,07:35:00,07:35:00,HOME_BS,1
T9000_0,07:41:00,07:41:00,HUB_BS,2
T9000_1,07:50:00,07:50:00,HOME_BS,1
T9000_1,07:56:00,07:56:00,HUB_BS,2
T9000_2,08:05:00,08:05:00,HOME_BS,1
T9000_2,08:11:00,08:11:00,HUB_BS,2
T9000_3,08:20:00,08:20:00,HOME_BS,1
T9000_3,08:26:00,08:26:00,HUB_BS,2
T9000_4,08:35:00,08:35:00,HOME_BS,1
T9000_4,08:41:00,08:41:00,HUB_BS,2
T9000_5,08:50:00,08:50:00,HOME_BS,1
T9000_5,08:56:00,08:56:00,HUB_BS,2
T500_0,07:35:00,07:35:00,HOME_BS,1
T500_0,07:50:00,07:50:00,B2,2
T500_0,08:07:00,08:07:00,WORK_BS,3
T500_1,07:47:00,07:47:00,HOME_BS,1
T500_1,08:02:00,08:02:00,B2,2
T500_1,08:19:00,08:19:00,WORK_BS,3
T500_2,07:59:00,07:59:00,HOME_BS,1
T500_2,08:14:00,08:14:00,B2,2
T500_2,08:31:00,08:31:00,WORK_BS,3
T500_3,08:11:00,08:11:00,HOME_BS,1
T500_3,08:26:00,08:26:00,B2,2
T500_3,08:43:00,08:43:00,WORK_BS,3
T500_4,08:23:00,08:23:00,HOME_BS,1
T500_4,08:38:00,08:38:00,B2,2
T500_4,08:55:00,08:55:00,WORK_BS,3
T500_5,08:35:00,08:35:00,HOME_BS,1
T500_5,08:50:00,08:50:00,B2,2
T500_5,09:07:00,09:07:00,WORK_BS,3
T500_6,08:47:00,08:47:00,HOME_BS,1
T500_6,09:02:00,09:02:00,B2,2
T500_6,09:19:00,09:19:00,WORK_BS,3
TSUB_0,07:30:00,07:30:00,HUB_SW,1
TSUB_0,07:33:00,07:33:00,D1,2
TSUB_0,07:36:00,07:36:00,WORK_SW,3
TSUB_1,07:36:00,07:36:00,HUB_SW,1
TSUB_1,07:39:00,07:39:00,D1,2
TSUB_1,07:42:00,07:42:00,WORK_SW,3
TSUB_2,07:42:00,07:42:00,HUB_SW,1
TSUB_2,07:45:00,07:45:00,D1,2
TSUB_2,07:48:00,07:48:00,WORK_SW,3
TSUB_3,07:48:00,07:48:00,HUB_SW,1
TSUB_3,07:51:00,07:51:00,D1,2
TSUB_3,07:54:00,07:54:00,WORK_SW,3
TSUB_4,07:54:00,07:54:00,HUB_SW,1
TSUB_4,07:57:00,07:57:00,D1,2
TSUB_4,08:00:00,08:00:00,WORK_SW,3
TSUB_5,08:00:00,08:00:00,HUB_SW,1
TSUB_5,08:03:00,08:03:00,D1,2
TSUB_5,08:06:00,08:06:00,WORK_SW,3
TSUB_6,08:06:00,08:06:00,HUB_SW,1
TSUB_6,08:09:00,08:09:00,D1,2
TSUB_6,08:12:00,08:12:00,WORK_SW,3
TSUB_7,08:12:00,08:12:00,HUB_SW,1
TSUB_7,08:15:00,08:15:00,D1,2
TSUB_7,08:18:00,08:18:00,WORK_SW,3
TSUB_8,08:18:00,08:18:00,HUB_SW,1
TSUB_8,08:21:00,08:21:00,D1,2
TSUB_8,08:24:00,08:24:00,WORK_SW,3
TSUB_9,08:24:00,08:24:00,HUB_SW,1
TSUB_9,08:27:00,08:27:00,D1,2
TSUB_9,08:30:00,08:30:00,WORK_SW,3
TSUB_10,08:30:00,08:30:00,HUB_SW,1
TSUB_10,08:33:00,08:33:00,D1,2
TSUB_10,08:36:00,08:36:00,WORK_SW,3
TSUB_11,08:36:00,08:36:00,HUB_SW,1
TSUB_11,08:39:00,08:39:00,D1,2
TSUB_11,08:42:00,08:42:00,WORK_SW,3
TSUB_12,08:42:00,08:42:00,HUB_SW,1
TSUB_12,08:45:00,08:45:00,D1,2
TSUB_12,08:48:00,08:48:00,WORK_SW,3
TSUB_13,08:48:00,08:48:00,HUB_SW,1
TSUB_13,08:51:00,08:51:00,D1,2
TSUB_13,08:54:00,08:54:00,WORK_SW,3
TSUB_14,08:54:00,08:54:00,HUB_SW,1
TSUB_14,08:57:00,08:57:00,D1,2
TSUB_14,09:00:00,09:00:00,WORK_SW,3
TSUB_15,09:00:00,09:00:00,HUB_SW,1
TSUB_15,09:03:00,09:03:00,D1,2
TSUB_15,09:06:00,09:06:00,WORK_SW,3
