route_id,service_id,trip_id,trip_headsign
BUS401,WEEK,T401_0,환승센터행
BUS401,WEEK,T401_1,환승센터행
BUS401,WEEK,T401_2,환승센터행
BUS401,WEEK,T401_3,환승센터행
BUS401,WEEK,T401_4,환승센터행
BUS401,WEEK,T401_5,환승센터행
BUS401,WEEK,T401_6,환승센터행
BUS401,WEEK,T401_7,환승센터행
EXP9000,WEEK,T9000_0,환승센터 직행
EXP9000,WEEK,T9000_1,환승센터 직행
EXP9000,WEEK,T9000_2,환승센터 직행
EXP9000,WEEK,T9000_3,환승센터 직행
EXP9000,WEEK,T9000_4,환승센터 직행
EXP9000,WEEK,T9000_5,환승센터 직행
BUS500,WEEK,T500_0,회사방면
BUS500,WEEK,T500_1,회사방면
BUS500,WEEK,T500_2,회사방면
BUS500,WEEK,T500_3,회사방면
BUS500,WEEK,T500_4,회사방면
BUS500,WEEK,T500_5,회사방면
BUS500,WEEK,T500_6,회사방면
SUB2,WEEK,TSUB_0,회사앞역행
SUB2,WEEK,TSUB_1,회사앞역행
SUB2,WEEK,TSUB_2,회사앞역행
SUB2,WEEK,TSUB_3,회사앞역행
SUB2,WEEK,TSUB_4,회사앞역행
SUB2,WEEK,TSUB_5,회사앞역행
SUB2,WEEK,TSUB_6,회사앞역행
SUB2,WEEK,TSUB_7,회사앞역행
SUB2,WEEK,TSUB_8,회사앞역행
SUB2,WEEK,TSUB_9,회사앞역행
SUB2,WEEK,TSUB_10,회사앞역행
SUB2,WEEK,TSUB_11,회사앞역행
SUB2,WEEK,TSUB_12,회사앞역행
SUB2,WEEK,TSUB_13,회사앞역행
SUB2,WEEK,TSUB_14,회사앞역행
SUB2,WEEK,TSUB_15,회사앞역행
